UPM,NVIVI,NHOGA,AÑO,DPTO,AREA,L02,P02,P03,P04,P04A,P04B,P05C,P05P,P05M,P06,P08D,P08M,P08A,P09,A01,A01A,A02,A03,A04,A04B,A04A,A05,A07,A08,A10,A11A,A11M,A11S,A12,A13REC,A14REC,A15,A16,A17A,A17M,A17S,A18,B01REC,B02REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B04,B05,B06,B07A,B07M,B07S,B08,B09A,B09M,B09S,B10,B11,B12,B12A,B12B,B12C,B13,B14,B15,B16G,B16U,B16D,B16T,B17,B18AG,B18AU,B18BG,B18BU,B19,B20G,B20U,B20D,B20T,B21,B22,B23,B24,B25,B26,B271,B272,B28,B29,B30,B31,C01REC,C02REC,C03,C04,C05,C06,C07,C08,C09,C101,C102,C11G,C11U,C11D,C11T,C12,C13AG,C13AU,C13BG,C13BU,C14,C14A,C14B,C14C,C15,C16REC,C17REC,C18,C18A,C18B,C19,D01,D02,D03,D04,D05,E01A,E01B,E01C,E01D,E01E,E01F,E01G,E01H,E01I,E01J,E01K,E01L,E01M,ED01,ED02,ED03,ED0504,ED06C,ED08,ED09,ED10,ED11F1,ED11F1A,ED11GH1,ED11GH1A,S01A,S01B,S02,S03,S03A,S03B,S03C,S04,S05,S06,S07,S08,S09,CATE_PEA,TAMA_PEA,OCUP_PEA,RAMA_PEA,HORAB,HORABC,HORABCO,PEAD,PEAA,TIPOHOGA,FACTOR,NJEF,NCON,NPAD,NMAD,añoest,ra06ya09,e01aimde,e01bimde,e01cimde,e01dde,e01ede,e01fde,e01gde,e01hde,e01ide,e01jde,e01kde,e01lde,e01mde,e01kjde,e02bde,ingrevasode,ingrealmuerzode,ipcm,pobrezai,pobnopoi,quintili,decili,quintiai,decilai,informalidad,ID_PERSONA,PET,NIVEL_EDUCATIVO_REC,TRAMO_EDAD,INGPRINC,INGTOT,INFORMAL_LABORAL,LN_INGPRINC
14,66,1,2025,0,1,4,26,9,1,1, ,0,0,0,6,11,4,1998,5,6,1,1, , , ,1, , , , , , , , , , , , , , , , ,3,8,1,1,1,1,1,0,0,1, , ,1,0,0,11,1,0,0,6, ,2,6, , ,12,2,4,1750000,5, ,1750000,6, , , , ,6, , , , ,6, , ,6, ,4, , ,1,5,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2405,14,19, ,18, , , , ,4, , ,3, , , , , , , , , ,2,11,3,8,5,5,5,1,1,4,109,2404, , , ,17, ,"1784742,647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6607797,18137254",3,0,5,10,5,10,1,14_66_1_4,1,4. Superior / Universitaria,25-49,1784742.647,6607797.18137254,0,14.394784787451472
30,9,1,2025,0,1,3,23,5,1,1, ,0,0,2,6,24,6,2002,5,6,30,1, , , ,1, , , , , , , , , , , , , , , , ,5,5,0,4,4,4,4,4,0,3,12,24,1,6,0,1,1,6,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,6, , ,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,903, ,19, ,12, , , , ,7, , ,1,6, , ,1, ,1,4,6,6,4,1,5,5,24,24,24,4,1,4,88,304, , , ,12, ,"1997120,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2566299,49604032",3,0,4,8,4,7,1,30_9_1_3,1,3. Educación Media,15-24,1997120.23,2566299.49604032,0,14.507216815893647
30,9,1,2025,0,1,4,19,5,1,1, ,0,0,2,1,23,4,2006,5,6,30,1, , , ,1, , , , , , , , , , , , , , , , ,6,8,0,8,8,8,8,8,0,3,12,48,1,6,0,11,1,6,0,1,1,2,6, , ,12,1,4,2680000,5, ,2680000,6, , , , ,6, , , , ,6, , ,6, ,1, , ,1,6,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1, ,1,2680000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,109, ,19, ,11, , , , ,1, ,1,3, , , , , , , , , ,2,11,6,8,48,48,48,1,1,4,88,304, , , ,9, ,"2676141,108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2566299,49604032",3,0,4,8,4,7,2,30_9_1_4,1,2. Educación Básica,15-24,2676141.108,2566299.49604032,0,14.799886429781733
30,11,1,2025,0,1,1,61,1,1,1, ,0,0,0,1,4,6,1964,4,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,1,6,0,8,8,8,8,0,0,3,12,40,15,0,0,2,16,0,0,1,1,2,6, , ,30,2,4,3000000,5, ,3000000,1,3000000,5,0, ,6, , , , ,6, , ,1,500000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,3,6,11,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,606, , , , , , , , ,1, ,1,1,6, , ,1, ,1,9,6,6,2,2,1,6,40,40,40,1,1,4,76,606,8888, , ,12, ,"5991360,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2355146,58363359",3,0,4,7,4,7,2,30_11_1_1,1,3. Educación Media,50-64,5991360.691,2355146.58363359,0,15.605829104728665
30,11,1,2025,0,1,2,36,3,1,1, ,0,1,0,1,13,11,1989,3,6,3,1, , , ,1, , , , , , , , , , , , , , , , ,1,8,0,8,8,8,8,0,0,3,12,40,3,0,0,11,18,0,0,1,2,1,6, , ,30,2,4,3000000,5, ,3000000,6, , , , ,6, , , , ,6, , ,6, ,1, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1, ,1,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,903, ,19, ,2, , , , ,1, ,1,3, , , , , , , , , ,1,11,1,8,40,40,40,1,1,4,76,606, , , ,12, ,"2995680,345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2355146,58363359",3,0,4,7,4,7,2,30_11_1_2,1,3. Educación Media,25-49,2995680.345,2355146.58363359,0,14.912681924001811
30,11,1,2025,0,1,3,29,3,1,1, ,8,1,0,6,22,6,1996,2,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,4,6,0,5,5,5,5,0,0,3,12,30,11,0,0,2,11,0,0,6, ,2,6, , ,30,2,4,2000000,5, ,2000000,6, , , , ,6, , , , ,6, , ,1,500000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1, ,1,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,903, ,19, ,2, , , , ,7, , ,3, , , , , , , , , ,2,2,4,6,30,30,30,1,1,4,76,606, , , ,12, ,"1997120,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2355146,58363359",3,0,4,7,4,7,1,30_11_1_3,1,3. Educación Media,25-49,1997120.23,2355146.58363359,0,14.507216815893647
30,11,1,2025,0,1,8,28,6,1,1, ,3,0,0,1,19,5,1997,2,6,3,1, , , ,1, , , , , , , , , , , , , , , , ,3,6,0,8,8,8,8,0,0,3,12,40,8,0,0,2,10,0,0,1,1,2,6, , ,30,2,4,3000000,5, ,3000000,1,3000000,5,0, ,6, , , , ,6, , ,1,500000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1, ,1,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2401,14,19, ,2, , , , ,1,4,1,1,1, , ,6,5, , , , ,2,2,3,6,40,40,40,1,1,4,76,606, , , ,13, ,"5991360,691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2355146,58363359",3,0,4,7,4,7,2,30_11_1_8,1,4. Superior / Universitaria,25-49,5991360.691,2355146.58363359,0,15.605829104728665
30,12,1,2025,0,1,1,70,1,1,1, ,0,0,0,6,9,8,1955,4,6,2,1, , , ,2, , , , , , , , , , , , , , , , ,7,2,0,5,5,5,5,5,0,3,12,30,6,0,0,1,6,0,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,6, ,6,1,9,8,20,1, ,10,6, ,6, , ,1200000,5, ,1200000,6, , , , ,4, , , ,0, , , , , , ,6, ,6, , ,600000,1200000,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,503, , , , , , , , ,7, , ,1,1, , ,1, ,1,4,1,6,4,1,7,2,30,50,50,1,1,4,45,503,8888, , ,9, ,"599136,069","1198272,138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2952742,26061915",3,0,4,8,4,8,1,30_12_1_1,1,2. Educación Básica,65+,599136.069,2952742.26061915,0,13.303244011567712
30,17,1,2025,0,1,1,60,1,1,1, ,0,0,0,6,23,11,1965,5,6,4,1, , , ,1, , , , , , , , , , , , , , , , ,4,2,0,8,8,8,8,6,0,3,12,46,25,0,0,11,25,0,0,1,1,2,6, , ,30,1,4,2700000,5, ,2700000,6, , , , ,6, , , , ,6, , ,1,700000,1, , ,1,5,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,706, , , , , , , , ,1, ,1,1,6, , ,1, ,1,1,6,6,2,11,4,2,46,46,46,1,1,4,71,706,8888, , ,12, ,"2696112,311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2271724,26205904",3,0,4,7,4,7,2,30_17_1_1,1,3. Educación Media,50-64,2696112.311,2271724.26205904,0,14.807321408529438
30,17,1,2025,0,1,2,23,3,1,1, ,0,0,1,1,24,1,2002,5,6,4,1, , , ,1, , , , , , , , , , , , , , , , ,8,6,6,6,6,6,6,6,6,1, , ,1,0,0,2,1,0,0,6, ,2,6, , ,88,88,4,600000,3, ,2400000,6, , , , ,6, , , , ,6, , ,6, ,4, , ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,409, ,19, ,15, , , , ,7, , ,3, , , , , , , , , ,2,2,8,6,42,42,42,1,1,4,71,706, , , ,9, ,"2396544,276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2271724,26205904",3,0,4,7,4,7,1,30_17_1_2,1,2. Educación Básica,15-24,2396544.276,2271724.26205904,0,14.689538372687602
30,17,1,2025,0,1,3,21,3,1,1, ,0,0,1,6,5,3,2004,2,6,4,1, , , ,1, , , , , , , , , , , , , , , , ,7,2,0,4,4,4,4,4,4,1, , ,0,8,0,1,0,8,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,903, ,19, ,1, , , , ,7, , ,3, , , , , , , , , ,4,1,7,2,24,24,24,1,1,4,71,706, , , ,12, ,"1397984,161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2271724,26205904",3,0,4,7,4,7,1,30_17_1_3,1,3. Educación Media,15-24,1397984.161,2271724.26205904,0,14.150541871954916
30,17,1,2025,0,1,4,56,9,1,1, ,0,0,0,6,21,9,1969,5,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,8,0,0,6,0,6,0,4,1, , ,3,0,0,1,3,0,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,503, , , , , , , , ,7, , ,1,1, , ,1, ,1,2,1,6,4,1,9,8,16,16,16,1,1,4,71,706, , , ,9, ,"1597696,184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2271724,26205904",3,0,4,7,4,7,1,30_17_1_4,1,2. Educación Básica,50-64,1597696.184,2271724.26205904,0,14.284073264579437
30,18,1,2025,0,1,1,36,1,1,1, ,0,0,0,6,8,4,1989,3,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,5,5,8,8,8,8,8,8,8,1, , ,3,0,0,2,3,0,0,6, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1, ,11,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2405,1,16,2, , , , , ,7, , ,1,4, , ,1, ,1,3,1,6,3,2,5,5,56,56,56,1,1,3,95,2405,8888, , ,17, ,"12981281,497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8698348,88852805",3,0,5,10,5,10,1,30_18_1_1,1,4. Superior / Universitaria,25-49,12981281.497,8698348.88852805,0,16.379018992949305
30,32,1,2025,0,1,1,27,1,1,1, ,0,0,0,6,3,7,1998,3,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,5,0,8,8,8,8,9,8,1, , ,0,0,2,2,0,0,2,6, ,2,6, , ,88,1,4,120000,2,24,2880000,6, , , , ,1,15000,2,24,360000,6, , ,6, ,4, , ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,1, ,11,3240000,0,0,0,0,0,500000,0,0,0,0,0,0,0.0,1,1,1003, ,19, ,14, , , , ,7, , ,1,1, , ,6,5, , , , ,2,2,9,5,49,49,49,1,1,3,60,1003,8888, , ,12, ,"3235334,773",0,0,0,0,0,"499280,057",0,0,0,0,0,0,0,0,0,0,"1664055,64098872",3,0,3,5,3,5,1,30_32_1_1,1,3. Educación Media,25-49,3235334.773,1664055.64098872,0,14.989642965261575
30,42,1,2025,0,1,1,43,1,1,1, ,2,0,0,6,11,9,1982,1,6,2,1, , , ,1, , , , , , , , , , , , , , , , ,5,5,0,8,8,8,8,8,0,3,12,48,0,10,0,1,0,10,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,2401,14,19, ,2, , , , ,7, , ,3, , , , , , , , , ,4,1,5,5,48,48,48,1,1,2,80,2401,605, , ,13, ,"1997120,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1496017,49268059",3,0,3,5,2,4,2,30_42_1_1,1,4. Superior / Universitaria,25-49,1997120.23,1496017.49268059,0,14.507216815893647
30,42,1,2025,0,1,2,42,2,1,1, ,1,0,0,1,21,2,1983,1,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,8,0,8,8,8,8,8,0,3,12,48,22,0,0,8,22,0,0,1,1,2,6, , ,30,1,4,3500000,5, ,3500000,6, , , , ,6, , , , ,6, , ,6, ,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,605, ,19, ,1, , , , ,1, ,1,3, , , , , , , , , ,2,8,9,8,48,48,48,1,1,2,80,2401, , , ,11, ,"3494960,403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1496017,49268059",3,0,3,5,2,4,2,30_42_1_2,1,3. Educación Media,25-49,3494960.403,1496017.49268059,0,15.066832603972133
30,42,1,2025,0,1,3,22,3,1,1, ,0,2,1,1,29,1,2003,5,6,2,1, , , ,1, , , , , , , , , , , , , , , , ,9,6,0,9,9,9,9,0,0,3,12,45,0,6,0,5,0,6,0,6, ,2,6, , ,88,2,4,2800000,5, ,2800000,6, , , , ,6, , , , ,6, , ,6, ,4, , ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,903, ,19, ,15, , , , ,7, , ,1,6, , ,6,5, , , , ,2,5,9,6,45,45,45,1,1,2,80,2401, ,8888,2401,12, ,"2795968,322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1496017,49268059",3,0,3,5,2,4,1,30_42_1_3,1,3. Educación Media,15-24,2795968.322,1496017.49268059,0,14.843689052514861
30,48,1,2025,0,1,1,20,1,1,1, ,0,0,0,6,28,2,2005,5,1, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,7,7,7,7,7,7,7,7,1, , ,0,5,0,7,0,5,0,1,1,2,6, , ,88,88,4,1800000,5, ,1800000,6, , , , ,6, , , , ,6, , ,1,150000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,903, ,19, ,3, , , , ,1, ,1,1,1, , ,1, ,1,1,1,6,2,7,9,7,49,49,49,1,1,4,76,903,8888, , ,12, ,"1797408,207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1298128,14974802",3,0,2,4,2,3,2,30_48_1_1,1,3. Educación Media,15-24,1797408.207,1298128.14974802,0,14.40185630023582
